STOCK|CODE
Baid Leasing And Finance Co.ltd|BOM511724
Bajaj Auto Ltd|BOM532977
Bajaj Corp Ltd|BOM533229
Bajaj Electricals Ltd.-$|BOM500031
Bajaj Finance Limited|BOM500034
Bajaj Finserv Ltd|BOM532978
Bajaj Global Ltd|BOM512261
Bajaj Hindusthan Sugar Limited|BOM500032
Bajaj Holdings & Investment Ltd|BOM500490
Bajaj Steel Industries Ltd|BOM507944
Bajrang Finance Ltd|BOM511139
Bal Pharma Ltd|BOM524824
Bala Techno Global Ltd|BOM511395
Bala Techno Industries Ltd|BOM514199
Balaji Amines Ltd.-$|BOM530999
Balaji Telefilms Ltd|BOM532382
Balasore Alloys Ltd|BOM513142
Balkrishna Industries Ltd.-$|BOM502355
Ballarpur Industries Ltd|BOM500102
Balmer Lawrie & Co.ltd|BOM523319
Balmer Lawrie Investments Ltd|BOM532485
Balrampur Chini Mills Ltd|BOM500038
Balurghat Technologies Ltd|BOM520127
Bambino Agro Industries Ltd|BOM519295
Bampsl Securities Ltd|BOM531591
Banaras Beads Ltd|BOM526849
Banas Finance Ltd|BOM509053
Banco Products (india) Ltd.-$|BOM500039
Bang Overseas Ltd|BOM532946
Bangalore Fort Farms Ltd|BOM539120
Bank Of Baroda|BOM532134
Bank Of India|BOM532149
Bank Of Maharashtra|BOM532525
Bannari Amman Spinning Mills Ltd|BOM532674
Bannari Amman Sugars Ltd|BOM500041
Bansal Roofing Products Ltd|BOM538546
Banswara Syntex Ltd.-$|BOM503722
Barak Valley Cements Ltd|BOM532916
Baroda Extrusion Ltd|BOM513502
Baron Infotech Ltd|BOM532336
Bartronics India Ltd|BOM532694
Basant Agro Tech (india) Ltd.-$|BOM524687
Basf India Ltd|BOM500042
Basil Infrastructure Projects Ltd|BOM511210
Bata India Ltd|BOM500043
Batliboi Ltd.-$|BOM522004
Bayer Cropscience Ltd|BOM506285
Bcc Fuba India Ltd|BOM517246
Bcl Industries And Infrastructures Ltd-$|BOM524332
Bdh Industries Ltd|BOM524828
Beardsell Ltd|BOM539447
Beckons Industries Ltd|BOM531937
Bedmutha Industries Ltd|BOM533270
Beekay Steel Industries Ltd|BOM539018
Beeyu Overseas Ltd|BOM532645
Bell Agromachina Ltd|BOM531112
Bella Casa Fashion & Retail Ltd|BOM539399
Bemco Hydraulics Ltd|BOM522650
Beml Ltd|BOM500048
Benares Hotels Ltd|BOM509438
Bengal & Assam Company Ltd|BOM533095
Bengal Tea & Fabrics Ltd|BOM532230
Bentley Commercial Enterprises Ltd|BOM512195
Benzo Petro International Ltd|BOM524737
Berger Paints India Ltd|BOM509480
Bervin Investment & Leasing Ltd|BOM531340
Beryl Drugs Ltd|BOM524606
