STOCK|CODE
Gmm Pfaudler Ltd|BOM505255
Gmr Infrastructure Ltd|BOM532754
Goa Carbon Ltd.-$|BOM509567
Gocl Corporation Ltd-$|BOM506480
Godavari Drugs Ltd|BOM530317
Godawari Power & Ispat Ltd|BOM532734
Godfrey Phillips India Ltd|BOM500163
Godrej Consumer Products Ltd|BOM532424
Godrej Industries Ltd|BOM500164
Godrej Properties Ltd|BOM533150
Goenka Business & Finance Ltd|BOM538787
Goenka Diamond & Jewels Ltd|BOM533189
Gogia Capital Services Limited|BOM531600
Gokak Textiles Ltd|BOM532957
Gokaldas Exports Ltd|BOM532630
Gokul Refoils & Solvent Ltd|BOM532980
Gol Offshore Ltd|BOM532786
Gold Coin Health Foods Ltd|BOM538542
Gold Line International Finvest Ltd|BOM538180
Gold Rock Investments Ltd|BOM501111
Goldcrest Corporation Limited|BOM505576
Golden Carpets Ltd|BOM531928
Golden Goenka Fincorp Limited|BOM530579
Golden Legand Leasing & Finance Ltd|BOM509024
Golden Tobacco Ltd|BOM500151
Goldiam International Ltd|BOM526729
Goldman Sachs Banking Index Exchange Traded Scheme|BOM590106
Goldman Sachs Mutual Fund- Cpse Etf-growth Option|BOM538057
Goldman Sachs Nifty Exchange Traded Scheme|BOM590103
Goldman Sachs Nifty Junior Exchange Traded Scheme|BOM590104
Goldman Sachs Psu Bank Exchange Traded Scheme|BOM590108
Goldman Sachs S&p Cnx Nifty Shariah Index Exchange Traded Scheme|BOM590109
Goldstone Infratech Ltd|BOM532439
Goldstone Technologies Ltd|BOM531439
Golechha Global Finance Ltd|BOM531360
Golkonda Aluminium Extrusions Ltd-$|BOM513309
Golkunda Diamonds & Jewellery Ltd|BOM523676
Gontermann-peipers (india) Ltd|BOM504701
Goodluck Steel Tubes Ltd|BOM530655
Goodricke Group Ltd|BOM500166
Goodyear India Ltd|BOM500168
Gopal Iron & Steels Co.(gujarat) Ltd|BOM531913
Gopala Polyplast Ltd|BOM526717
Goplee Infotech Ltd|BOM531419
Gorani Industries Ltd|BOM531608
Gothi Plascon (india) Ltd|BOM531111
Govind Rubber Ltd.-$|BOM509148
Gowra Leasing & Finance Ltd|BOM530709
Goyal Associates Ltd|BOM530663
Gp Petroleums Limited|BOM532543
Gpt Infraprojects Ltd|BOM533761
Gr Cables Ltd|BOM517564
Gradiente Infotainment Ltd|BOM590126
Grandeur Products Ltd|BOM539235
Grandma Trading & Agencies Ltd|BOM504369
Granules India Ltd.-$|BOM532482
Graphite India Ltd|BOM509488
Grasim Industries Ltd|BOM500300
Gratex Industries Ltd|BOM526751
Grauer & Weil (india) Ltd.-$|BOM505710
Graviss Hospitality Ltd|BOM509546
Gravita India Ltd|BOM533282
Gravity (india) Ltd.-$|BOM532015
Great Eastern Shipping Co.ltd|BOM500620
Greaves Cotton Ltd|BOM501455
Green Field Agri Ventures Ltd|BOM538743
Green Fire Agri Commodities Ltd|BOM590057
Greencrest Financial Services Limited|BOM531737
Greenlam Industries Ltd|BOM538979
Greenply Industries Ltd|BOM526797
Greycells Education Limited|BOM508918
Grindwell Norton Ltd.-$|BOM506076
Grm Overseas Ltd|BOM531449
Gromo Trade & Consultancy Ltd|BOM501314
Grp Ltd|BOM509152
Gruh Finance Ltd|BOM511288
Gsb Finance Ltd|BOM511543
Gsl Nova Petrochemicals Limited|BOM530605
Gsl Securities Ltd|BOM530469
Gss Infotech Ltd|BOM532951
Gtl Infrastructure Ltd|BOM532775
Gtl Ltd|BOM500160
Gtn Industries Ltd|BOM500170
Gtn Textiles Ltd|BOM532744
Gufic Biosciences Ltd|BOM509079
Gujarat Alkalies & Chemicals Ltd|BOM530001
Gujarat Ambuja Exports Ltd|BOM524226
Gujarat Apollo Industries Ltd|BOM522217
Gujarat Automotive Gears Ltd|BOM505712
Gujarat Bitumen Ltd|BOM539009
Gujarat Borosil Ltd|BOM523768
Gujarat Carbon & Industries Ltd|BOM506457
Gujarat Containers Ltd|BOM513507
Gujarat Cotex Ltd|BOM514386
Gujarat Craft Industries Ltd|BOM526965
Gujarat Credit Corporation Ltd|BOM511441
Gujarat Fluorochemicals Ltd|BOM500173
Gujarat Foils Ltd|BOM531410
Gujarat Gas Co.ltd|BOM523477
Gujarat Gas Ltd|BOM539336
Gujarat Hotels Ltd|BOM507960
Gujarat Industries Power Co.ltd|BOM517300
Gujarat Intrux Ltd.-$|BOM517372
Gujarat Investa Ltd|BOM531341
Gujarat Lease Financing Ltd|BOM500174
Gujarat Meditech Ltd|BOM524754
Gujarat Metallic Coal & Coke Ltd.-$|BOM531881
Gujarat Mineral Development Corporation Ltd|BOM532181
Gujarat Narmada Flyash Co.ltd|BOM526598
Gujarat Narmada Valley Fertilizers & Chemicals Ltd|BOM500670
Gujarat Natural Resources Limited|BOM513536
Gujarat Nre Coke Ltd|BOM570003
Gujarat Nre Coke Ltd|BOM512579
Gujarat Organics Ltd|BOM501368
Gujarat Petrosynthese Ltd|BOM506858
Gujarat Pipavav Port Ltd|BOM533248
Gujarat Poly-avx Electronics Ltd|BOM517288
Gujarat Raffia Industries Ltd|BOM523836
Gujarat Sidhee Cement Ltd|BOM518029
Gujarat State Fertilizers & Chemicals Ltd|BOM500690
Gujarat State Financial Corporation Ltd|BOM532160
Gujarat State Petronet Ltd|BOM532702
Gujarat Terce Laboratories Ltd|BOM524314
Gujarat Themis Biosyn Ltd|BOM506879
Gujarat Toolroom Ltd|BOM513337
Gujchem Distillers India Ltd|BOM506640
Gulf Oil Lubricants India Ltd|BOM538567
Gulshan Chemfill Ltd|BOM532425
Gulshan Polyols Ltd|BOM532457
Gupta Carpets International Ltd|BOM514360
Gupta Synthetics Ltd|BOM514116
Gv Films Ltd|BOM523277
Gvk Power & Infrastructure Ltd|BOM532708
Gyan Developers & Builders Ltd|BOM530141
Gyscoal Alloys Ltd|BOM533275
H.k. Trade International Ltd|BOM539337
H.p.cotton Textile Mills Ltd|BOM502873
H.s.india Ltd|BOM532145
Haldyn Glass Ltd-$|BOM515147
Hanjer Fibres Ltd|BOM514308
Hanung Toys & Textiles Ltd|BOM532770
Hardcastle & Waud Mfg.co.ltd|BOM509597
Hari Govind International Ltd|BOM531971
Haria Apparels Ltd|BOM538081
Haria Exports Ltd.-$|BOM512604
Harita Seating Systems Ltd.-$|BOM590043
Hariyana Ship Breakers Ltd.-$|BOM526931
Harmony Capital Services Ltd|BOM530055
Harrisons Malayalam Ltd|BOM500467
Haryana Capfin Ltd|BOM532855
Haryana Financial Corporation Ltd|BOM530927
Haryana Leather Chemicals Ltd|BOM524080
Haryana Texprints (overseas) Limited|BOM514296
Hasti Finance Ltd|BOM531387
Hathway Bhawani Cabletel & Datacom Ltd|BOM509073
Hathway Cable & Datacom Ltd|BOM533162
Hatsun Agro Product Ltd|BOM531531
Havells India Ltd|BOM517354
Hawa Engineers Ltd|BOM539176
Hawkins Cookers Ltd.-$|BOM508486
Hazoor Multi Projects Ltd.-$|BOM532467
Hb Estate Developers Ltd|BOM532334
Hb Leasing & Finance Co.ltd|BOM508956
Hb Portfolio Ltd|BOM532333
Hb Stockholdings Ltd|BOM532216
Hbl Power Systems Ltd.-$|BOM517271
Hcl Infosystems Ltd|BOM500179
Hcl Technologies Ltd|BOM532281
Hdfc Bank Ltd|BOM500180
Hdfc Focused Equity Fund Plan A - Direct Option - Growth|BOM539139
Hdfc Focused Equity Fund Plan A - Direct Option- Dividend Option|BOM538981
Hdfc Focused Equity Fund Plan A - Direct Option- Growth Option|BOM538980
Hdfc Focused Equity Fund Plan A- Direct Option - Dividend Payout|BOM539140
Hdfc Focused Equity Fund Plan A-regular Option - Dividend Option|BOM538983
Hdfc Focused Equity Fund Plan A-regular Option- Growth Option|BOM538982
Hdfc Focused Equity Fund Plan B - Regular Option- Dividend Payout|BOM539138
Hdfc Focused Equity Fund Plan B - Regular Option- Growth|BOM539134
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2 - Regular Plan - G O|BOM537866
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Dvdd P O|BOM537869
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Growth O|BOM537868
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2-regular Plan- D P O|BOM537867
Healthfore Technologies Ltd|BOM533525
Healthy Investments Ltd|BOM503689
Heera Ispat Ltd|BOM526967
Heg Ltd|BOM509631
Heidelbergcement India Ltd|BOM500292
Helios & Matheson Information Technology Ltd.-$|BOM532347
Hella India Lighting Ltd|BOM520026
Helpage Finlease Ltd|BOM539174
Hem Holdings & Trading Ltd|BOM505520
Hemang Resources Ltd|BOM531178
Hemo Organic Limited|BOM524590
Hercules Hoists Ltd|BOM505720
Heritage Foods Limited|BOM519552
Hero Motocorp Ltd|BOM500182
Hester Biosciences Ltd|BOM524669
Hexa Tradex Ltd|BOM534328
Hexaware Technologies Ltd|BOM532129
High Energy Batteries (india) Ltd|BOM504176
High Ground Enterprise Ltd|BOM517080
High Street Filatex Ltd|BOM531301
Hikal Ltd|BOM524735
Hil Ltd|BOM509675
Hilton Metal Forging Ltd|BOM532847
Himachal Fibres Ltd|BOM514010
Himachal Futuristic Communications Ltd|BOM500183
Himadri Chemicals & Industries Ltd|BOM500184
Himalaya Granites Ltd.-$|BOM513723
Himalchuli Food Products Ltd|BOM511169
Himalya International Ltd|BOM526899
Himatsingka Seide Ltd|BOM514043
Hind Aluminium Industries Ltd.-$|BOM531979
Hind Commerce Ltd|BOM538652
Hind Industries Ltd|BOM526307
Hind Rectifiers Ltd|BOM504036
Hind Securities & Credits Ltd|BOM539114
Hind Syntex Ltd|BOM503881
Hindalco Industries Ltd|BOM500440
Hindoostan Mills Ltd|BOM509895
Hinduja Foundries Ltd.-$|BOM505982
Hinduja Global Solutions Ltd|BOM532859
Hinduja Ventures Ltd|BOM500189
Hindustan Adhesives Ltd|BOM514428
Hindustan Appliances Ltd|BOM531918
Hindustan Bio Sciences Ltd|BOM532041
Hindustan Composites Ltd|BOM509635
Hindustan Construction Co.ltd|BOM500185
Hindustan Copper Ltd|BOM513599
Hindustan Dorr-oliver Ltd|BOM509627
Hindustan Everest Tools Ltd|BOM505725
Hindustan Fluorocarbons Ltd|BOM524013
Hindustan Foods Ltd|BOM519126
Hindustan Hardy Spicer Ltd|BOM505893
Hindustan Housing Co.ltd|BOM509650
Hindustan Media Ventures Ltd|BOM533217
Hindustan Motors Ltd|BOM500500
Hindustan Oil Exploration Co.ltd|BOM500186
Hindustan Organic Chemicals Ltd|BOM500449
Hindustan Petroleum Corporation Ltd|BOM500104
Hindustan Tin Works Ltd.-$|BOM530315
Hindustan Unilever Ltd|BOM500696
Hindustan Wires Ltd|BOM504713
Hindustan Zinc Ltd|BOM500188
Hindusthan National Glass & Industries Ltd.-$|BOM515145
Hindusthan Udyog Ltd|BOM513039
Hipolin Ltd|BOM530853
Hira Automobiles Ltd|BOM531743
Hira Ferro Alloys Ltd|BOM533256
Hiran Orgochem Ltd.-$|BOM506170
Hisar Metal Industries Ltd.-$|BOM590018
Hisar Spinning Mills Ltd|BOM521068
Hit Kit Global Solutions Ltd|BOM532359
Hitachi Home And Life Solutions (india) Ltd|BOM523398
Hitech Plast Ltd.-$|BOM526217
Hittco Tools Ltd|BOM531661
Hmt Ltd|BOM500191
Honda Siel Power Products Ltd|BOM522064
Honeywell Automation India Ltd|BOM517174
Hotel Leelaventure Ltd|BOM500193
Hotel Rugby Ltd|BOM526683
Housing Development & Infrastructure Ltd|BOM532873
Housing Development Finance Corp.ltd|BOM500010
Hov Services Ltd|BOM532761
Howard Hotels Ltd|BOM526761
Hpc Biosciences Ltd|BOM535217
Hrb Floriculture Ltd|BOM531724
Hsil Ltd|BOM500187
Ht Media Ltd|BOM532662
Hubtown Ltd|BOM532799
Huhtamaki Ppl Limited|BOM509820
I G Petrochemicals Ltd|BOM500199
I-power Solutions India Ltd|BOM512405
Ib Infotech Enterprises Ltd|BOM519463
Icici Bank Ltd|BOM532174
Icici Prudential Growth Fund Series 1 (direct Dividend Option)|BOM538502
Icici Prudential Growth Fund Series 1 (regular Dividend Payout)|BOM538501
Icici Prudential Growth Fund Series 2 (direct Plan - Dividend Payout Option)|BOM538578
Icici Prudential Growth Fund Series 2 (regular Plan - Dividend Payout Option)|BOM538577
Icici Prudential Growth Fund Series 3 (direct Plan - Dividend Payout Option)|BOM538729
Icici Prudential Growth Fund Series 3 (regular Plan - Dividend Payout Option)|BOM538728
Icici Prudential Growth Fund Series 4 (direct Plan - Dividend Payout Option)|BOM538764
Icici Prudential Growth Fund Series 4 (regular Plan - Dividend Payout Option)|BOM538763
Icici Prudential Growth Fund Series 6 (direct Plan - Dividend Payout)|BOM538893
Icici Prudential Growth Fund Series 6 (regular Plan - Dividend Payout)|BOM538892
Icici Prudential Growth Fund Series 7 (direct Plan - Dividend Payout)|BOM538925
Icici Prudential Growth Fund Series 7 (regular Plan - Dividend Payout)|BOM538924
Icici Prudential Growth Fund Series 8 (direct Plan - Dividend Payout)|BOM538937
Icici Prudential Growth Fund Series 8 (regular Plan - Dividend Payout)|BOM538936
Icici Prudential India Recovery Fund - Series 1 (direct Plan - Dividend Payout Option)|BOM539085
Icici Prudential India Recovery Fund - Series 1 (regular Plan - Dividend Payout Option)|BOM539084
Icici Prudential India Recovery Fund - Series 2 (direct Plan - Dividend Payout Option)|BOM539101
Icici Prudential India Recovery Fund - Series 2 (regular Plan - Dividend Payout Option)|BOM539100
Icici Prudential India Recovery Fund Series 3 - Direct Plan - Cumulative Option|BOM539319
Icici Prudential India Recovery Fund Series 3 - Direct Plan - Dividend Payout|BOM539320
Icici Prudential India Recovery Fund Series 3 - Regular Plan - Cumulative|BOM539321
Icici Prudential India Recovery Fund Series 3 - Regular Plan - Dividend Option|BOM539322
Icici Prudential Mutual Fund - Icici Prudential Cnx 100 Etf|BOM537008
Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1 - Direct Plan Dividend|BOM537651
Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-direct Plan Cumulative|BOM537650
Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-reglr Plan Cumulative|BOM537648
Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-regular Plan Dividend|BOM537649
Icici Prudential Mutual Fund - Icici Prudential Nifty Etf|BOM537007
Icici Prudential Mutual Fund- Direct Plan Cumulative Option|BOM539394
Icici Prudential Mutual Fund- Direct Plan Dividend Option|BOM539395
Icici Prudential Mutual Fund- Regular Plan Cumulative Option|BOM539396
Icici Prudential Mutual Fund- Regular Plan Dividend Option|BOM539397
Icici Prudential Spice Fund|BOM555555
Icici Prudential Value Fund Series 3(direct Dividend Option)|BOM537923
Icici Prudential Value Fund Series 3(regular Dividend Option)|BOM537922
Icici Prudential Value Fund Series 5 (direct Cumulative Option)|BOM538650
Icici Prudential Value Fund Series 5 (direct Dividend Option)|BOM538651
Icici Prudential Value Fund Series 5 (regular Cumulative Option)|BOM538648
Icici Prudential Value Fund Series 5 (regular Dividend Option)|BOM538649
Icici Prudential Value Fund Series 6- Direct Plan Cumulative Option|BOM539092
Icici Prudential Value Fund Series 6- Direct Plan Dividend Option|BOM539093
Icici Prudential Value Fund Series 6- Regular Plan Cumulative Option|BOM539094
Icici Prudential Value Fund Series 6- Regular Plan Dividend Option|BOM539095
Icici Prudential Value Fund Series 7|BOM539179
Icici Prudential Value Fund Series 7|BOM539180
Icici Prudential Value Fund Series 8 - Direct Plan Dividend Option|BOM539285
Icici Prudential Value Fund Series 8 - Regular Plan Dividend Option|BOM539286
Icra Ltd|BOM532835
Icsa (india) Ltd.-$|BOM531524
Icvl Steels Ltd|BOM534733
Idbi Bank Ltd|BOM500116
Idea Cellular Ltd|BOM532822
Ideal Optics Ltd|BOM531328
Idfc Bank Ltd|BOM539437
Idfc Equity Opportunity- Series 1- Direct Plan- Dividend|BOM535502
Idfc Equity Opportunity- Series 1- Regular Plan- Dividend|BOM535501
Idfc Limited|BOM532659
Idfc Mutual Fund - Idfc Equity Opportunity- Series 2 - Direct Plan- Dividend|BOM537412
Idfc Mutual Fund - Idfc Equity Opportunity- Series 3 - Direct Plan- Dividend|BOM537701
Idfc Mutual Fund- Idfc Equity Opportunity- Series 2 - Regular Plan- Dividend|BOM537411
Idfc Mutual Fund- Idfc Equity Opportunity- Series 3 - Regular Plan- Dividend|BOM537700
Iec Education Ltd|BOM531840
Ifb Agro Industries Ltd|BOM507438
Ifb Industries Ltd|BOM505726
Ifci Ltd|BOM500106
Ifgl Refractories Ltd|BOM532133
Ifl Promoters Ltd|BOM511682
Ifm Impex Global Ltd|BOM522289
Igarashi Motors India Ltd|BOM517380
Iifl Holdings Limited|BOM532636
Iitl Projects Limited|BOM531968
Ikab Securities & Investment Ltd|BOM514238
Ikf Finance Ltd|BOM530719
Ikf Technologies Ltd|BOM532414
Il&fs Engineering And Construction Company Ltd|BOM532907
Il&fs Investment Managers Ltd|BOM511208
Il&fs Transportation Networks Ltd|BOM533177
Im+ Capitals Limited|BOM511628
Imc Finance Ltd|BOM505539
Imp Powers Ltd|BOM517571
Impex Ferro Tech Ltd|BOM532614
In House Productions Ltd|BOM526610
Inani Marbles & Industries Ltd|BOM531129
Inani Securities Ltd|BOM531672
Incap Ltd|BOM517370
Incon Engineers Ltd|BOM531594
Ind Bank Housing Ltd|BOM523465
Ind Renewable Energy Ltd|BOM536709
Ind-agiv Commerce Ltd|BOM517077
Ind-swift Laboratories Ltd|BOM532305
Ind-swift Ltd|BOM524652
Indag Rubber Ltd.-$|BOM509162
Indbank Merchant Banking Services Ltd|BOM511473
Indergiri Finance Ltd|BOM531505
India Cements Capital Ltd|BOM511355
India Cements Ltd|BOM530005
India Finsec Ltd|BOM535667
India Gelatine & Chemicals Ltd.-$|BOM531253
India Glycols Ltd|BOM500201
India Home Loan Ltd|BOM530979
India Infraspace Ltd|BOM531343
India Lease Development Ltd|BOM500202
India Motor Parts & Accessories Ltd|BOM590065
India Nippon Electricals Ltd|BOM532240
India Steel Works Ltd|BOM513361
India Tourism Development Corporation Ltd|BOM532189
Indiabulls Housing Finance Ltd|BOM535789
Indiabulls Real Estate Ltd|BOM532832
Indiabulls Ventures Limited|BOM532960
Indiabulls Wholesale Services Ltd|BOM533520
Indiaco Ventures Ltd|BOM506131
Indian Acrylics Ltd|BOM514165
Indian Bank|BOM532814
Indian Bright Steel Co.ltd|BOM504731
Indian Card Clothing Co.ltd|BOM509692
Indian Extractions Ltd|BOM524614
Indian Hotels Co.ltd|BOM500850
Indian Hume Pipe Co.ltd|BOM504741
Indian Infotech & Software Ltd|BOM509051
Indian Link Chain Manufactures Ltd|BOM504746
Indian Metals & Ferro Alloys Ltd|BOM533047
Indian Oil Corporation Ltd|BOM530965
Indian Overseas Bank|BOM532388
Indian Sucrose Ltd|BOM500319
Indian Terrain Fashions Ltd|BOM533329
Indian Toners & Developers Ltd.-$|BOM523586
Indianivesh Ltd|BOM501700
Inditrade Capital Limited|BOM532745
Indo Amines Ltd.-$|BOM524648
Indo Asian Finance Ltd|BOM530747
Indo Bonito Multinational Ltd|BOM531084
Indo Borax & Chemicals Ltd.-$|BOM524342
Indo Cotspin Ltd|BOM538838
Indo Count Industries Ltd|BOM521016
Indo Credit Capital Ltd|BOM526887
Indo Euro Indchem Ltd|BOM524458
Indo Pacific Projects Ltd|BOM531565
Indo Rama Synthetics (india) Ltd|BOM500207
Indo Tech Transformers Ltd|BOM532717
Indo Thai Securities Ltd|BOM533676
Indo-asian Projects Ltd|BOM531674
Indo-city Infotech Ltd.-$|BOM532100
Indo-global Enterprises Ltd|BOM539433
Indo-national Ltd|BOM504058
Indoco Remedies Ltd|BOM532612
Indokem Ltd|BOM504092
Indosolar Ltd|BOM533257
Indovation Technologies Ltd|BOM521005
Indowind Energy Ltd|BOM532894
Indra Industries Ltd|BOM539175
Indraprastha Gas Ltd|BOM532514
Indraprastha Medical Corp.ltd|BOM532150
Indrayani Biotech Ltd|BOM526445
Indsil Hydro Power And Manganese Ltd.-$|BOM522165
Indsoya Ltd|BOM503639
Indtradeco Ltd|BOM504336
Inducto Steel Ltd|BOM532001
Indus Fila Ltd|BOM532821
Indus Finance Ltd|BOM531841
Indusind Bank Ltd|BOM532187
Industrial & Prudential Investments Co.ltd|BOM501298
Industrial Investment Trust Ltd|BOM501295
Ineos Styrolution India Ltd|BOM506222
Inertia Steel Ltd|BOM512025
Infinite Computer Solutions (india) Ltd|BOM533154
Info Edge (india) Ltd|BOM532777
Info-drive Software Ltd|BOM530703
Infomedia Press Ltd|BOM509069
Informed Technologies India Ltd|BOM504810
Infosys Ltd|BOM500209
Infra Industries Ltd|BOM530777
Infronics Systems Ltd|BOM590118
Ing Vysya Bank Ltd|BOM531807
Ingersoll-rand (india) Ltd|BOM500210
Inland Printers Ltd|BOM530787
Innocorp Ltd|BOM531929
Innovassynth Investments Ltd|BOM533315
Innovation Software Exports Ltd|BOM517433
Innovative Tech Pack Ltd|BOM523840
Innoventive Industries Ltd|BOM533402
Innoventive Venture Ltd|BOM512375
Inox Leisure Ltd|BOM532706
Inox Wind Ltd|BOM539083
Insecticides (india) Ltd|BOM532851
Insilco Ltd|BOM500211
Insta Finance Limited|BOM511433
Intec Capital Ltd|BOM526871
Integra Capital Management Ltd|BOM531314
Integra Engineering India Ltd|BOM505358
Integra Garments And Textiles Ltd|BOM535958
Integra Switchgear Ltd|BOM517423
Integra Telecommunication & Software Ltd|BOM536868
Integrated Capital Services Ltd|BOM539149
Integrated Financial Services Ltd|BOM500212
Integrated Hitech Ltd|BOM532303
Integrated Proteins Ltd|BOM519606
Integrated Technologies Ltd|BOM531889
Integrated Thermoplastics Ltd|BOM530921
Intellect Design Arena Ltd|BOM538835
Intellivate Capital Advisors Ltd|BOM534732
Intellivate Capital Ventures Ltd|BOM506134
Intellvisions Software Ltd.-$|BOM531777
Intense Technologies Ltd.-$|BOM532326
Inter Globe Finance Ltd|BOM511391
Inter State Oil Carrier Ltd|BOM530259
Intercorp Industries Ltd|BOM531551
Interface Financial Services Ltd|BOM530519
Interglobe Aviation Ltd|BOM539448
Interlink Petroleum Ltd|BOM526512
International Combustion (india) Ltd|BOM505737
International Conveyors Ltd|BOM509709
International Data Management Ltd|BOM517044
International Housing Finance Corporation Ltd|BOM530781
International Paper Appm Limited|BOM502330
International Travel House Ltd.-$|BOM500213
Interworld Digital Ltd.-$|BOM532072
Intrasoft Technologies Ltd|BOM533181
Inventure Growth & Securities Ltd|BOM533506
Investment & Precision Castings Ltd|BOM504786
Invicta Meditek Ltd|BOM523844
Io System Ltd|BOM523752
Iol Chemicals & Pharmaceuticals Ltd|BOM524164
Ion Exchange (india) Ltd.-$|BOM500214
Ip Rings Ltd.-$|BOM523638
Ipca Laboratories Ltd|BOM524494
Ipru2365|BOM538309
Ipru2366|BOM538310
Ipru8565|BOM538311
Ipru8566|BOM538312
Irb Infrastructure Developers Ltd|BOM532947
Iris Mediaworks Ltd|BOM531337
Isf Limited|BOM526859
Isgec Heavy Engineering Ltd|BOM533033
Ishan Dyes & Chemicals Ltd|BOM531109
Ishita Drugs & Industries Ltd|BOM524400
Ishwarshakti Holdings & Traders Ltd|BOM506161
Isl Consulting Ltd|BOM511609
Ismt Ltd|BOM532479
Ist Ltd|BOM508807
Istreet Network Limited|BOM524622
Itc Ltd|BOM500875
Itd Cementation India Ltd|BOM509496
Iti Ltd|BOM523610
Itl Industries Ltd.-$|BOM522183
Ivp Ltd|BOM507580
Ivrcl Ltd|BOM530773
Iykot Hitech Toolroom Ltd|BOM522245
Izmo Limited-$|BOM532341
J. Taparia Projects Ltd|BOM538539
J.b.chemicals & Pharmaceuticals Ltd|BOM506943
J.j.exporters Ltd|BOM530049
J.j.finance Corporation Ltd|BOM523062
J.k.cement Ltd|BOM532644
J.kumar Infraprojects Ltd|BOM532940
J.l.morison (india) Ltd|BOM506522
J.r.foods Ltd|BOM530915
Jackson Investments Ltd|BOM538422
Jagan Lamps Ltd|BOM530711
Jagatjit Industries Ltd|BOM507155
Jagjanani Textiles Ltd|BOM532825
Jagran Prakashan Ltd|BOM532705
Jagran Production Limited|BOM531695
Jagson Airlines Ltd|BOM520139
Jagsonpal Finance & Leasing Ltd|BOM530601
Jagsonpal Pharmaceuticals Ltd|BOM507789
Jai Balaji Industries Ltd|BOM532976
Jai Corp Ltd|BOM512237
Jai Mata Glass Ltd|BOM523467
Jaihind Projects Ltd|BOM531339
Jaihind Synthetics Ltd|BOM514312
Jain Irrigation Systems Ltd|BOM500219
Jain Irrigation Systems Ltd|BOM570004
Jain Marmo Industries Ltd|BOM539119
Jain Studios Ltd|BOM532033
Jainco Projects (india) Ltd|BOM526865
Jainex Aamcol Ltd|BOM505212
Jaipan Industries Ltd|BOM505840
Jaiprakash Associates Ltd|BOM532532
Jaiprakash Power Ventures Limited|BOM532627
James Hotels Ltd|BOM526558
James Warren Tea Ltd|BOM538564
Jammu & Kashmir Bank Ltd|BOM532209
Jamna Auto Industries Ltd|BOM520051
Jamshri Ranjitsinghji Spg. & Wvg. Mills Co.ltd.-$|BOM502901
Jarigold Textiles Ltd|BOM512329
Jasch Industries Ltd|BOM500220
Jattashankar Industies Ltd|BOM514318
Jauss Polymers Ltd|BOM526001
Jay Bharat Maruti Ltd|BOM520066
Jay Energy And S.energies Ltd|BOM526523
Jay Mahesh Infraventures Ltd|BOM590132
Jay Shree Tea & Industries Ltd|BOM509715
Jay Ushin Ltd|BOM513252
Jayabharat Credit Ltd.-$|BOM501311
Jayant Agro-organics Ltd|BOM524330
Jayant Mercantile Co.ltd|BOM512129
Jayaswal Neco Industries Ltd|BOM522285
Jayatma Spinners Ltd|BOM539005
Jayavant Products Ltd|BOM531382
Jaybharat Textiles & Real Estate Ltd|BOM512233
Jaykay Enterprises Ltd|BOM500306
Jaypee Infratech Ltd|BOM533207
Jayshree Chemicals Ltd|BOM506520
Jaysynth Dyestuff (india) Ltd|BOM506910
Jbf Industries Ltd|BOM514034
Jbm Auto Ltd|BOM532605
Jct Electronics Ltd|BOM500222
Jct Ltd|BOM500223
Jd Orgochem Ltd|BOM524592
Jeet Machine Tools Ltd|BOM513012
Jeevan Scientific Technology Ltd|BOM538837
Jenburkt Pharmaceuticals Ltd|BOM524731
Jenson & Nicholson (india) Ltd|BOM523592
Jet Airways (india) Ltd|BOM532617
Jet Infraventure Ltd|BOM538794
Jetking Infotrain Ltd|BOM517063
Jeypore Sugar Company Ltd|BOM590054
Jhaveri Credits & Capital Ltd|BOM531550
Jhs Svendgaard Laboratories Ltd|BOM532771
Jik Industries Ltd|BOM511618
Jindal Capital Ltd|BOM530405
Jindal Cotex Ltd|BOM533103
Jindal Drilling & Industries Ltd|BOM511034
Jindal Hotels Ltd|BOM507981
Jindal Online.com Ltd|BOM531960
Jindal Photo Ltd|BOM532624
Jindal Poly Films Ltd|BOM500227
Jindal Poly Investment And Finance Company Ltd|BOM536773
Jindal Saw Ltd|BOM500378
Jindal Stainless Ltd|BOM532508
Jindal Steel & Power Ltd|BOM532286
Jindal Worldwide Ltd|BOM531543
Jiya Eco-products Ltd|BOM539225
Jk Agri Genetics Ltd|BOM536493
Jk Lakshmi Cement Ltd|BOM500380
Jk Paper Ltd|BOM532162
Jk Tyre & Industries Ltd|BOM530007
Jla Infraville Shoppers Ltd|BOM538765
Jm Financial Ltd.-$|BOM523405
Jmc Projects (india) Ltd.-$|BOM522263
Jmd Telefilms Industries Ltd|BOM511092
Jmg Corporation Ltd|BOM523712
Jmt Auto Ltd|BOM513691
Joindre Capital Services Ltd|BOM531861
Jointeca Education Solutions Ltd|BOM534659
